ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IC_SAMPLE_1	SC_SAMPLE_1	IC_SAMPLE_2	SC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
5894	"ENSG00000265681.7"	"RPL17"	chr18	-	49491531	49491833	49491531	49491584	49491735	49491833	5894	3809,3867,3340	1114,931,868	1154,1379,837	29,55,26	251	100	0.0	0.0	0.577,0.623,0.605	0.941,0.909,0.928	-0.324
5922	"ENSG00000105193.8"	"RPS16"	chr19	-	39433664	39435708	39433664	39433761	39435606	39435708	5922	592,547,427	3313,2132,1734	805,616,1318	2199,1201,2019	1945	100	0.0	0.0	0.009,0.013,0.013	0.018,0.026,0.032	-0.014
752	"ENSG00000154743.17"	"TSEN2"	chr3	+	12529761	12531659	12529761	12529873	12531569	12531659	752	35,43,59	31,57,38	124,108,226	26,19,41	1796	100	0.0	0.0	0.059,0.04,0.08	0.21,0.24,0.235	-0.169
3978	"ENSG00000103051.18"	"COG4"	chr16	-	70508405	70509388	70508405	70508464	70509230	70509388	3978	44,41,69	80,58,90	209,234,394	115,62,99	866	100	1.11022302463e-16	1.14177673165e-14	0.06,0.075,0.081	0.173,0.304,0.315	-0.192
4266	"ENSG00000084072.16"	"PPIE"	chr1	+	39741894	39743297	39741894	39741921	39743215	39743297	4266	44,50,22	130,178,134	108,147,153	209,114,156	1394	100	1.11022302463e-16	1.14177673165e-14	0.024,0.02,0.012	0.036,0.085,0.066	-0.044
5611	"ENSG00000167965.17"	"MLST8"	chr16	+	2206357	2206659	2206357	2206409	2206478	2206659	5611	4,1,3	8,2,8	25,8,28	1,0,0	169	100	1.11022302463e-16	1.14177673165e-14	0.228,0.228,0.182	0.937,1.0,1.0	-0.766
5589	"ENSG00000112531.16"	"QKI"	chr6	+	163563419	163570145	163563419	163563719	163565945	163570145	5589	223,245,173	2,2,0	1799,3184,2412	234,374,198	2326	100	3.33066907388e-16	3.33750121557e-14	0.827,0.84,1.0	0.248,0.268,0.344	0.602
5086	"ENSG00000015479.18"	"MATR3"	chr5	+	139314674	139316188	139314674	139314736	139316075	139316188	5086	719,804,596	67,45,22	390,865,463	2,3,3	1439	100	8.881784197e-16	8.67750316047e-14	0.427,0.554,0.653	0.931,0.952,0.915	-0.388
4341	"ENSG00000113240.12"	"CLK4"	chr5	-	178616881	178618778	178616881	178616948	178617343	178618778	4341	21,33,21	23,15,19	217,370,166	27,21,15	495	100	1.22124532709e-15	1.16405530202e-13	0.156,0.308,0.183	0.619,0.781,0.691	-0.481
1031	"ENSG00000213523.10"	"SRA1"	chr5	-	140551060	140552184	140551060	140551169	140551981	140552184	1031	32,30,47	213,152,201	64,41,79	127,63,42	912	100	1.44328993201e-15	1.34294691769e-13	0.016,0.021,0.025	0.052,0.067,0.171	-0.076
1885	"ENSG00000100650.15"	"SRSF5"	chr14	+	69768797	69770540	69768797	69768896	69769181	69770540	1885	329,308,242	338,442,432	200,328,254	806,782,806	385	100	1.99840144433e-15	1.81622159173e-13	0.202,0.153,0.127	0.061,0.098,0.076	0.082
2108	"ENSG00000064607.16"	"SUGP2"	chr19	-	18994365	18995280	18994365	18994486	18995143	18995280	2108	327,328,376	114,66,78	649,687,524	31,50,38	757	100	2.22044604925e-15	1.9721598092e-13	0.275,0.396,0.389	0.734,0.645,0.646	-0.322
267	"ENSG00000102119.10"	"EMD"	chrX	+	154379941	154380367	154379941	154380019	154380233	154380367	267	250,231,131	243,299,176	83,90,65	313,212,218	314	100	2.55351295664e-15	2.21758414101e-13	0.247,0.197,0.192	0.078,0.119,0.087	0.117
5049	"ENSG00000197603.13"	"C5orf42"	chr5	-	37139339	37142480	37139339	37139370	37142309	37142480	5049	34,38,41	5,11,17	5,15,3	26,25,19	3039	100	4.21884749358e-15	3.58418608802e-13	0.183,0.102,0.074	0.006,0.019,0.005	0.11
2121	"ENSG00000132424.14"	"PNISR"	chr6	-	99414571	99416428	99414571	99414690	99416348	99416428	2121	79,92,101	185,169,125	87,202,351	63,82,279	1758	100	4.55191440096e-15	3.78486839978e-13	0.024,0.03,0.044	0.073,0.123,0.067	-0.055
2196	"ENSG00000133112.16"	"TPT1"	chr13	-	45340711	45341158	45340711	45340820	45341041	45341158	2196	7,1,1	0,0,0	2,5,3	4,3,7	321	100	5.10702591328e-15	4.1579702644e-13	1.0,1.0,1.0	0.135,0.342,0.118	0.802
3860	"ENSG00000038274.16"	"MAT2B"	chr5	+	163512001	163513669	163512001	163512196	163513554	163513669	3860	75,78,42	382,416,251	99,123,128	221,230,234	1458	100	6.99440505514e-15	5.57839488887e-13	0.013,0.013,0.011	0.03,0.035,0.036	-0.021
1876	"ENSG00000089280.18"	"FUS"	chr16	+	31184938	31188357	31184938	31185179	31188324	31188357	1876	4210,4699,5606	39,39,20	9281,10843,9136	17,6,15	3245	100	8.10462807976e-15	6.33457730714e-13	0.769,0.788,0.896	0.944,0.982,0.949	-0.141
1018	"ENSG00000138796.16"	"HADH"	chr4	+	108023473	108027760	108023473	108023563	108027687	108027760	1018	141,171,197	141,138,186	412,345,761	219,138,193	4224	100	8.65973959208e-15	6.63573771095e-13	0.023,0.028,0.024	0.043,0.056,0.085	-0.036
1268	"ENSG00000144559.10"	"TAMM41"	chr3	-	11807832	11809682	11807832	11807895	11809516	11809682	1268	0,5,2	20,14,17	23,35,38	16,12,15	1721	100	8.881784197e-15	6.67500243113e-13	0.0,0.02,0.007	0.077,0.145,0.128	-0.108
5781	"ENSG00000185189.17"	"NRBP2"	chr8	-	143839508	143840030	143839508	143839825	143839928	143840030	5781	36,11,25	32,30,31	8,6,7	106,138,40	203	100	1.90958360236e-14	1.40804768265e-12	0.357,0.153,0.284	0.036,0.021,0.079	0.219
1349	"ENSG00000140400.16"	"MAN2C1"	chr15	-	75358461	75358808	75358461	75358618	75358703	75358808	1349	10,2,5	91,24,58	35,34,17	21,24,28	185	100	1.95399252334e-14	1.41411162615e-12	0.056,0.043,0.045	0.474,0.434,0.247	-0.337
1191	"ENSG00000205581.10"	"HMGN1"	chr21	-	39345145	39348339	39345145	39345274	39348291	39348339	1191	2108,2630,2529	113,68,52	6393,12289,6175	49,55,38	3117	100	2.43138842393e-14	1.72761199286e-12	0.374,0.554,0.609	0.807,0.878,0.839	-0.329
4516	"ENSG00000140416.19"	"TPM1"	chr15	+	63061197	63062277	63061197	63061273	63062214	63062277	4516	61,40,52	84,83,90	127,208,66	93,72,19	1041	100	2.25486296301e-13	1.5735722249e-11	0.065,0.044,0.053	0.116,0.217,0.25	-0.14
5014	"ENSG00000130935.9"	"NOL11"	chr17	+	67738121	67739010	67738121	67738355	67738931	67739010	5014	25,33,39	140,181,164	78,69,80	116,91,155	676	100	2.87880830285e-13	1.97375137676e-11	0.026,0.026,0.034	0.09,0.101,0.071	-0.059
2762	"ENSG00000166508.17"	"MCM7"	chr7	-	100099022	100099403	100099022	100099203	100099278	100099403	2762	54,42,72	673,677,825	279,196,156	1799,757,992	175	100	3.40505401653e-13	2.29430191321e-11	0.044,0.034,0.048	0.081,0.129,0.082	-0.055
1854	"ENSG00000204628.11"	"RACK1"	chr5	-	181241491	181242345	181241491	181241639	181242173	181242345	1854	710,731,771	4737,4281,4298	905,668,1100	3778,1975,2828	634	100	3.53717055646e-13	2.31833959437e-11	0.023,0.026,0.028	0.036,0.051,0.058	-0.023
3539	"ENSG00000169908.11"	"TM4SF1"	chr3	-	149375442	149375769	149375442	149375588	149375679	149375769	3539	63,67,136	1286,1038,1144	4,3,4	369,396,145	191	100	3.55937501695e-13	2.31833959437e-11	0.025,0.033,0.059	0.006,0.004,0.014	0.031
1748	"ENSG00000185813.10"	"PCYT2"	chr17	-	81905669	81906177	81905669	81905735	81906099	81906177	1748	53,24,37	97,84,131	7,0,3	102,33,61	464	100	6.58029186695e-13	4.21570174033e-11	0.105,0.058,0.057	0.015,0.0,0.01	0.065
4091	"ENSG00000099622.13"	"CIRBP"	chr19	+	1271980	1274440	1271980	1272051	1274306	1274440	4091	1555,1485,2903	24,11,14	9618,7881,4352	9,8,9	2355	100	8.68638494467e-13	5.4752245748e-11	0.733,0.851,0.898	0.978,0.977,0.954	-0.142
5629	"ENSG00000013441.15"	"CLK1"	chr2	-	200859679	200861466	200859679	200859746	200861237	200861466	5629	520,603,364	68,63,37	1545,3339,2226	66,61,24	1591	100	9.42690370209e-13	5.84767296314e-11	0.325,0.376,0.382	0.595,0.775,0.854	-0.38
4961	"ENSG00000156256.14"	"USP16"	chr21	+	29042471	29043599	29042471	29042528	29043422	29043599	4961	53,62,44	90,160,118	167,208,190	177,136,183	994	100	1.54587453949e-12	9.43949640676e-11	0.056,0.038,0.036	0.087,0.133,0.095	-0.062
5667	"ENSG00000189171.14"	"S100A13"	chr1	-	153626319	153627598	153626319	153626533	153627482	153627598	5667	833,525,392	613,549,428	105,151,86	459,216,85	1049	100	1.96997973489e-12	1.18441243138e-10	0.115,0.084,0.08	0.021,0.062,0.088	0.036
594	"ENSG00000105221.16"	"AKT2"	chr19	-	40236256	40238091	40236256	40236385	40237968	40238091	594	370,231,137	167,135,103	191,295,128	509,224,115	1683	100	2.14650519581e-12	1.27099125837e-10	0.116,0.092,0.073	0.022,0.073,0.062	0.041
4090	"ENSG00000099622.13"	"CIRBP"	chr19	+	1271139	1271467	1271139	1271246	1271328	1271467	4090	28,21,44	404,320,592	37,29,38	2935,1745,715	182	100	2.20123919092e-12	1.28394668032e-10	0.037,0.035,0.039	0.007,0.009,0.028	0.022
1417	"ENSG00000076108.11"	"BAZ2A"	chr12	-	56615013	56615607	56615013	56615128	56615218	56615607	1417	248,261,244	31,35,24	170,195,154	3,1,5	190	100	3.28415072914e-12	1.88742074257e-10	0.808,0.797,0.843	0.968,0.99,0.942	-0.151
4283	"ENSG00000164405.10"	"UQCRQ"	chr5	+	132866868	132867687	132866868	132867035	132867487	132867687	4283	515,438,230	938,956,714	183,151,210	1188,452,969	552	100	3.49620332685e-12	1.98016849295e-10	0.09,0.077,0.055	0.027,0.057,0.038	0.033
134	"ENSG00000177954.11"	"RPS27"	chr1	+	153990762	153991034	153990762	153990802	153990913	153991034	134	737,354,341	124,23,49	195,217,62	0,6,2	211	100	3.98048261019e-12	2.22224657723e-10	0.738,0.879,0.767	1.0,0.945,0.936	-0.166
3060	"ENSG00000153187.18"	"HNRNPU"	chr1	-	244860334	244862534	244860334	244860474	244862460	244862534	3060	376,374,315	425,569,595	729,1405,936	715,690,892	2086	100	4.15756318262e-12	2.28841646728e-10	0.041,0.031,0.025	0.047,0.089,0.048	-0.029
4017	"ENSG00000075415.12"	"SLC25A3"	chr12	+	98593974	98595848	98593974	98594135	98595726	98595848	4017	987,1091,994	688,304,395	1140,1164,1190	270,149,225	1691	100	6.02184968557e-12	3.26852619045e-10	0.078,0.175,0.13	0.2,0.316,0.238	-0.124
4346	"ENSG00000115548.16"	"KDM3A"	chr2	+	86478607	86480362	86478607	86478735	86480166	86480362	4346	81,69,32	75,76,61	192,292,160	75,140,66	1531	100	7.09865499715e-12	3.80021146971e-10	0.066,0.056,0.033	0.143,0.12,0.137	-0.082
1072	"ENSG00000234741.7"	"GAS5"	chr1	-	173864483	173864704	173864483	173864506	173864674	173864704	1072	2813,4036,5338	913,895,1044	635,563,1473	418,332,675	268	100	7.62756524608e-12	4.02817905158e-10	0.535,0.627,0.656	0.362,0.388,0.449	0.206
1648	"ENSG00000171109.18"	"MFN1"	chr3	+	179378340	179378814	179378340	179378443	179378584	179378814	1648	1,4,7	73,85,83	24,37,12	37,59,89	241	100	9.20974407848e-12	4.79889064783e-10	0.006,0.019,0.034	0.212,0.206,0.053	-0.137
546	"ENSG00000113013.12"	"HSPA9"	chr5	-	138556773	138557496	138556773	138556866	138557401	138557496	546	392,376,332	1601,2039,1724	203,269,375	667,624,789	635	100	9.83402248522e-12	5.05675787793e-10	0.037,0.028,0.029	0.046,0.064,0.07	-0.029
1328	"ENSG00000213983.11"	"AP1G2"	chr14	-	23563583	23563856	23563583	23563638	23563715	23563856	1328	31,9,21	6,3,5	1,5,2	10,10,14	177	100	1.19922960451e-11	6.08647960315e-10	0.745,0.629,0.704	0.053,0.22,0.075	0.577
4668	"ENSG00000071462.11"	"WBSCR22"	chr7	+	73692595	73693414	73692595	73692646	73693328	73693414	4668	4,8,14	66,108,136	107,137,67	531,283,196	782	100	1.25527366279e-11	6.28924291562e-10	0.008,0.009,0.013	0.025,0.058,0.042	-0.032
5061	"ENSG00000108465.14"	"CDK5RAP3"	chr17	+	47974399	47975337	47974399	47974448	47975158	47975337	5061	1328,1076,1082	42,46,33	969,1145,807	104,86,70	810	100	1.38666855776e-11	6.85962116927e-10	0.796,0.743,0.802	0.535,0.622,0.587	0.199
3440	"ENSG00000204356.13"	"NELFE"	chr6	-	31953728	31954134	31953728	31953831	31954079	31954134	3440	94,110,81	260,293,211	224,215,170	234,127,224	348	100	2.26779706125e-11	1.10781886442e-09	0.094,0.097,0.099	0.216,0.327,0.179	-0.144
4138	"ENSG00000198198.15"	"SZT2"	chr1	+	43448611	43450171	43448611	43448728	43450102	43450171	4138	663,294,816	5,11,12	66,95,119	10,14,15	1474	100	2.54005705358e-11	1.22549913153e-09	0.9,0.645,0.822	0.309,0.315,0.35	0.464
4836	"ENSG00000169045.17"	"HNRNPH1"	chr5	-	179617798	179618060	179617798	179617932	179617988	179618060	4836	302,290,276	1103,1297,1416	161,158,204	1503,1421,1543	156	100	2.65187871662e-11	1.26384658836e-09	0.149,0.125,0.111	0.064,0.067,0.078	0.059
5895	"ENSG00000265681.7"	"RPL17"	chr18	-	49491531	49491833	49491531	49491584	49491745	49491833	5895	3856,3894,3369	0,0,0	1159,1414,852	14,19,17	261	100	3.14483994401e-11	1.48072704834e-09	1.0,1.0,1.0	0.969,0.966,0.951	0.038
4369	"ENSG00000163682.15"	"RPL9"	chr4	-	39458193	39458440	39458193	39458309	39458393	39458440	4369	4,24,21	283,218,127	29,32,25	102,82,94	184	100	3.3534730548e-11	1.56016341645e-09	0.008,0.056,0.082	0.134,0.175,0.126	-0.096
2594	"ENSG00000213397.10"	"HAUS7"	chrX	-	153454393	153455766	153454393	153454508	153455541	153455766	2594	16,23,24	47,36,37	39,24,45	13,7,20	1133	100	3.4579006325e-11	1.58982066727e-09	0.029,0.053,0.054	0.209,0.232,0.166	-0.157
939	"ENSG00000188313.12"	"PLSCR1"	chr3	-	146521543	146522053	146521543	146521705	146521832	146522053	939	23,47,37	89,168,104	31,34,26	17,19,27	227	100	3.64186458768e-11	1.65493102426e-09	0.102,0.11,0.135	0.445,0.441,0.298	-0.279
824	"ENSG00000077152.9"	"UBE2T"	chr1	-	202333009	202333335	202333009	202333093	202333236	202333335	824	42,38,32	523,565,522	71,71,92	470,283,580	243	100	4.01195743294e-11	1.8021528331e-09	0.032,0.027,0.025	0.059,0.094,0.061	-0.043
3791	"ENSG00000172732.11"	"MUS81"	chr11	+	65865810	65866439	65865810	65865894	65865985	65866439	3791	55,48,42	48,47,40	7,12,15	60,37,45	191	100	4.64566163316e-11	2.063096098e-09	0.375,0.348,0.355	0.058,0.145,0.149	0.242
894	"ENSG00000150316.11"	"CWC15"	chr11	-	94970976	94971487	94970976	94971065	94971374	94971487	894	104,94,71	523,583,442	69,136,96	278,242,233	409	100	5.30017141287e-11	2.32731122264e-09	0.046,0.038,0.038	0.057,0.121,0.092	-0.049
1358	"ENSG00000161653.10"	"NAGS"	chr17	+	44006528	44007494	44006528	44006709	44007322	44007494	1358	15,9,14	5,1,3	4,1,3	0,0,0	713	100	5.68161073744e-11	2.46708164021e-09	0.296,0.558,0.396	1.0,1.0,1.0	-0.583
4589	"ENSG00000128272.14"	"ATF4"	chr22	+	39520563	39521671	39520563	39520751	39521353	39521671	4589	485,339,426	985,351,466	257,243,213	163,117,184	702	100	6.01552141433e-11	2.58336897662e-09	0.066,0.121,0.115	0.183,0.228,0.142	-0.084
2861	"ENSG00000076382.16"	"SPAG5"	chr17	-	28579750	28580120	28579750	28579837	28580008	28580120	2861	56,70,49	294,323,277	63,38,39	98,74,79	271	100	6.33022523289e-11	2.68896958806e-09	0.066,0.074,0.061	0.192,0.159,0.154	-0.101
297	"ENSG00000145495.15"	"MARCH6"	chr5	+	10400783	10402139	10400783	10400842	10402058	10402139	297	494,619,1089	171,162,151	1656,2759,1750	143,154,149	1316	100	1.15362941422e-10	4.8477244632e-09	0.18,0.225,0.354	0.468,0.577,0.472	-0.253
2120	"ENSG00000132424.14"	"PNISR"	chr6	-	99403828	99404702	99403828	99403882	99404602	99404702	2120	1780,2055,1794	24,30,45	344,883,2830	71,78,157	820	100	1.5191137237e-10	6.31563450236e-09	0.9,0.893,0.829	0.371,0.58,0.687	0.328
337	"ENSG00000198721.12"	"ECI2"	chr6	-	4117307	4119275	4117307	4117451	4119185	4119275	337	278,255,135	366,465,309	166,299,142	173,135,187	1834	100	1.64215085974e-10	6.75529006301e-09	0.04,0.029,0.023	0.05,0.108,0.04	-0.035
2573	"ENSG00000143774.16"	"GUK1"	chr1	+	228145510	228146067	228145510	228145624	228146025	228146067	2573	226,113,94	318,144,181	40,40,26	219,97,93	501	100	2.12309947401e-10	8.64278410878e-09	0.124,0.135,0.094	0.035,0.076,0.053	0.063
2277	"ENSG00000140983.13"	"RHOT2"	chr16	+	672253	672825	672253	672566	672702	672825	2277	31,6,8	50,13,38	3,0,3	63,37,39	236	100	2.69979150147e-10	1.08770981317e-08	0.208,0.164,0.082	0.02,0.0,0.032	0.134
1069	"ENSG00000234741.7"	"GAS5"	chr1	-	173864256	173864506	173864256	173864304	173864483	173864506	1069	2321,2832,3988	745,785,862	500,570,1131	338,272,545	279	100	2.74568034975e-10	1.09491008233e-08	0.528,0.564,0.624	0.346,0.429,0.427	0.171
4344	"ENSG00000115548.16"	"KDM3A"	chr2	+	86482457	86484158	86482457	86482694	86483986	86484158	4344	45,31,25	71,77,76	93,147,116	112,110,68	1392	100	3.12522785428e-10	1.23367580349e-08	0.044,0.028,0.023	0.056,0.088,0.109	-0.053
3566	"ENSG00000179532.12"	"DNHD1"	chr11	+	6497584	6498961	6497584	6497667	6497770	6498961	3566	8,10,9	12,15,5	18,11,14	0,0,2	203	100	3.80143916345e-10	1.48560242508e-08	0.247,0.247,0.47	1.0,1.0,0.775	-0.604
3986	"ENSG00000058673.16"	"ZC3H11A"	chr1	+	203796450	203803016	203796450	203796607	203801574	203803016	3986	831,711,737	6,6,2	2577,3313,1927	0,0,0	5067	100	4.01252697735e-10	1.55256984431e-08	0.732,0.7,0.879	1.0,1.0,1.0	-0.23
1958	"ENSG00000182196.13"	"ARL6IP4"	chr12	+	122981128	122981879	122981128	122981299	122981570	122981879	1958	51,30,48	6,9,8	55,38,31	70,43,30	371	100	4.20097623355e-10	1.60955050203e-08	0.696,0.473,0.618	0.175,0.192,0.218	0.401
42	"ENSG00000182796.13"	"TMEM198B"	chr12	+	55830840	55831349	55830840	55831083	55831256	55831349	42	31,30,46	1,0,0	73,96,130	21,10,33	273	100	4.85160689401e-10	1.84078444095e-08	0.919,1.0,1.0	0.56,0.779,0.591	0.33
5609	"ENSG00000168438.14"	"CDC40"	chr6	+	110210706	110212272	110210706	110210803	110212132	110212272	5609	5,21,13	95,104,56	10,19,80	22,28,130	1429	100	4.97970775726e-10	1.8712209534e-08	0.004,0.014,0.016	0.031,0.045,0.041	-0.028
