ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IC_SAMPLE_1	SC_SAMPLE_1	IC_SAMPLE_2	SC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
35	"ENSG00000173171.14"	"MTX1"	chr1	+	155210547	155212219	155210547	155210627	155212384	155212567	35	312,345,478	51,33,39	351,367,253	2,1,0	1692	100	0.0	0.0	0.266,0.382,0.42	0.912,0.956,1.0	-0.6
3845	"ENSG00000121716.20"	"PILRB"	chr7	+	100353372	100354012	100353372	100353483	100355142	100355240	3845	153,127,152	26,18,21	542,404,349	2,15,3	629	100	0.0	0.0	0.483,0.529,0.535	0.977,0.811,0.949	-0.397
3989	"ENSG00000082898.16"	"XPO1"	chr2	-	61525491	61526521	61526419	61526521	61522610	61522683	3989	16,30,47	400,498,443	325,407,229	267,376,459	1028	100	0.0	0.0	0.004,0.006,0.01	0.106,0.095,0.046	-0.076
4344	"ENSG00000121897.14"	"LIAS"	chr4	+	39467517	39468427	39467517	39467646	39470018	39470164	4344	29,42,30	57,58,54	55,64,84	14,18,24	881	100	0.0	0.0	0.055,0.076,0.059	0.308,0.288,0.284	-0.23
4618	"ENSG00000183291.15"	"SELENOF"	chr1	-	86914027	86914424	86914314	86914424	86903280	86903448	4618	310,380,380	42,41,27	655,509,369	8,3,10	387	100	0.0	0.0	0.656,0.705,0.784	0.955,0.978,0.905	-0.231
481	"ENSG00000137817.16"	"PARP6"	chr15	-	72265269	72265473	72265412	72265473	72265080	72265171	481	51,39,56	49,40,29	18,15,14	131,114,61	243	100	0.0	0.0	0.3,0.286,0.443	0.054,0.051,0.086	0.279
5310	"ENSG00000138688.15"	"KIAA1109"	chr4	+	122334343	122334545	122334343	122334440	122336191	122336353	5310	40,54,37	16,14,19	4,1,2	54,49,64	205	100	0.0	0.0	0.549,0.653,0.487	0.035,0.01,0.015	0.543
5528	"ENSG00000168653.10"	"NDUFS5"	chr1	+	39026317	39026402	39026317	39026398	39028722	39028940	5528	22,24,13	1371,1383,1080	865,559,784	1289,761,702	104	100	0.0	0.0	0.015,0.016,0.011	0.392,0.414,0.518	-0.427
5684	"ENSG00000265681.7"	"RPL17"	chr18	-	49491735	49491833	49491745	49491833	49491531	49491584	5684	1161,958,897	0,0,0	34,90,41	14,19,17	110	100	0.0	0.0	1.0,1.0,1.0	0.688,0.812,0.687	0.271
603	"ENSG00000221838.9"	"AP4M1"	chr7	+	100101879	100102393	100101879	100101968	100102674	100102781	603	8,4,11	38,29,33	94,69,42	38,27,20	525	100	0.0	0.0	0.039,0.026,0.06	0.32,0.327,0.286	-0.269
817	"ENSG00000001497.16"	"LAS1L"	chrX	-	65520701	65523707	65523559	65523707	65517986	65518465	817	551,446,661	417,299,421	541,789,632	46,40,86	2958	100	0.0	0.0	0.043,0.048,0.05	0.284,0.4,0.199	-0.247
872	"ENSG00000125676.19"	"THOC2"	chrX	-	123620374	123620965	123620906	123620965	123619400	123619436	872	194,351,217	65,123,61	83,125,93	118,130,205	632	100	0.0	0.0	0.321,0.311,0.36	0.1,0.132,0.067	0.231
911	"ENSG00000132676.15"	"DAP3"	chr1	+	155689090	155689243	155689090	155689174	155709772	155709824	911	85,77,82	546,484,538	126,78,151	188,173,195	169	100	0.0	0.0	0.084,0.086,0.083	0.284,0.211,0.314	-0.185
2301	"ENSG00000178982.9"	"EIF3K"	chr19	+	38619195	38619327	38619195	38619317	38620336	38620435	2301	778,682,524	13,11,8	651,340,421	55,34,28	110	100	1.11022302463e-16	1.55687428762e-14	0.982,0.983,0.983	0.915,0.901,0.932	0.067
699	"ENSG00000110958.15"	"PTGES3"	chr12	-	56665631	56666266	56666203	56666266	56664775	56664800	699	112,112,93	162,195,171	40,87,83	323,318,366	672	100	5.55111512313e-16	7.49606138479e-14	0.093,0.079,0.075	0.018,0.039,0.033	0.052
2516	"ENSG00000070882.12"	"OSBPL3"	chr7	-	24834086	24834736	24834485	24834736	24830767	24830905	2516	6,5,21	14,21,29	97,24,14	13,4,1	499	100	4.10782519111e-15	5.348975231e-13	0.079,0.046,0.127	0.599,0.546,0.737	-0.543
4404	"ENSG00000170271.10"	"FAXDC2"	chr5	-	154823307	154823592	154823386	154823592	154822471	154822577	4404	3,1,5	0,0,0	3,4,2	42,78,40	179	100	1.14352971536e-14	1.43769287662e-12	1.0,1.0,1.0	0.038,0.028,0.027	0.969
4705	"ENSG00000169045.17"	"HNRNPH1"	chr5	-	179616868	179616958	179616898	179616958	179616125	179616218	4705	1388,1531,1491	7,4,19	1351,1377,1598	43,30,59	130	100	5.49560397189e-14	6.67899069384e-12	0.993,0.997,0.984	0.96,0.972,0.954	0.029
2579	"ENSG00000198755.10"	"RPL10A"	chr6	+	35468946	35469285	35468946	35469027	35469380	35469529	2579	535,140,214	2778,2367,2358	48,66,77	1520,1030,1583	358	100	1.84963155903e-13	2.17540537556e-11	0.051,0.016,0.025	0.009,0.018,0.013	0.017
5136	"ENSG00000140365.15"	"COMMD4"	chr15	+	75338061	75338420	75338061	75338133	75338645	75338685	5136	83,76,91	40,23,29	342,106,158	21,11,8	387	100	4.27879953691e-13	4.87515722237e-11	0.349,0.461,0.448	0.808,0.713,0.836	-0.366
2045	"ENSG00000132424.14"	"PNISR"	chr6	-	99403828	99404702	99404602	99404702	99402539	99402710	2045	1749,2049,1814	169,142,34	431,980,2937	1,4,20	874	100	7.54618589838e-13	8.33739205621e-11	0.542,0.623,0.859	0.98,0.966,0.944	-0.289
642	"ENSG00000054148.17"	"PHPT1"	chr9	+	136850012	136850560	136850012	136850137	136850754	136851022	642	269,82,117	444,267,398	77,85,31	852,333,115	523	100	1.0100809078e-12	1.08316323231e-10	0.104,0.055,0.053	0.017,0.047,0.049	0.033
5771	"ENSG00000166012.16"	"TAF1D"	chr11	-	93736693	93737239	93737063	93737239	93736140	93736304	5771	1149,1335,1194	52,46,30	222,293,494	1,0,2	470	100	1.26876287254e-12	1.32168840951e-10	0.825,0.861,0.894	0.979,1.0,0.981	-0.127
716	"ENSG00000008128.22"	"CDK11A"	chr1	-	1707408	1707584	1707524	1707584	1705641	1705732	716	212,100,162	4,9,8	76,75,83	26,26,18	216	100	1.39532829735e-12	1.41315749226e-10	0.961,0.837,0.904	0.575,0.572,0.681	0.291
4885	"ENSG00000197603.13"	"C5orf42"	chr5	-	37139339	37142480	37142309	37142480	37138719	37138848	4885	41,48,51	3,1,5	37,40,27	0,0,0	3070	100	9.35485022779e-12	9.21831998122e-10	0.308,0.61,0.249	1.0,1.0,1.0	-0.611
1661	"ENSG00000108953.16"	"YWHAE"	chr17	-	1361901	1362008	1361929	1362008	1354210	1354347	1661	495,383,426	13,15,23	662,501,427	2,1,0	128	100	9.94926363518e-12	9.54605663523e-10	0.967,0.952,0.935	0.996,0.997,1.0	-0.046
5427	"ENSG00000010361.13"	"FUZ"	chr19	-	49812446	49812736	49812614	49812736	49812250	49812335	5427	6,6,5	0,0,0	27,36,3	52,21,35	268	100	1.17357235041e-11	1.09713968964e-09	1.0,1.0,1.0	0.162,0.39,0.031	0.806
95	"ENSG00000062485.18"	"CS"	chr12	-	56286496	56286645	56286594	56286645	56285915	56286023	95	7,7,14	186,144,132	29,30,48	154,135,120	198	100	1.6827206295e-11	1.53379985379e-09	0.019,0.024,0.051	0.087,0.101,0.168	-0.087
5685	"ENSG00000265681.7"	"RPL17"	chr18	-	49491351	49491445	49491404	49491445	49490792	49490927	5685	16,15,17	1367,1344,1312	18,28,10	300,379,288	153	100	3.44645423311e-11	3.06482247169e-09	0.008,0.007,0.008	0.038,0.046,0.022	-0.028
5354	"ENSG00000109180.14"	"OCIAD1"	chr4	+	48831226	48831433	48831226	48831249	48832619	48832682	5354	131,46,66	315,371,230	30,28,20	325,282,235	284	100	3.97794019946e-11	3.45323094458e-09	0.128,0.042,0.092	0.031,0.034,0.029	0.056
426	"ENSG00000198561.13"	"CTNND1"	chr11	+	57761796	57762119	57761796	57762046	57789036	57789155	426	17,26,26	13,38,30	15,11,1	78,78,32	173	100	7.65860708185e-11	6.49378637684e-09	0.43,0.283,0.334	0.1,0.075,0.018	0.285
2051	"ENSG00000166845.13"	"C18orf54"	chr18	+	54361642	54362431	54361642	54361948	54362770	54362921	2051	51,66,51	12,15,13	138,152,45	2,1,3	583	100	1.24549703884e-10	1.03206413718e-08	0.422,0.43,0.402	0.922,0.963,0.72	-0.45
58	"ENSG00000169247.11"	"SH3TC2"	chr5	-	149041415	149041617	149041473	149041617	149040603	149040677	58	4,2,1	6,8,2	11,2,7	1,0,0	158	100	1.40781275526e-10	1.14064117904e-08	0.297,0.137,0.24	0.874,1.0,1.0	-0.733
5501	"ENSG00000129484.13"	"PARP2"	chr14	+	20344931	20345126	20344931	20345087	20345393	20345464	5501	8,2,4	296,210,243	90,116,3	88,83,201	139	100	1.67870606305e-10	1.33055702302e-08	0.019,0.007,0.012	0.424,0.501,0.011	-0.299
1395	"ENSG00000102125.15"	"TAZ"	chrX	+	154419542	154419746	154419542	154419623	154420031	154420094	1395	31,36,32	19,36,19	64,40,36	10,2,3	223	100	4.45784520409e-10	3.45814970513e-08	0.423,0.31,0.43	0.742,0.9,0.843	-0.441
1912	"ENSG00000143569.18"	"UBAP2L"	chr1	+	154234590	154234792	154234590	154234759	154235195	154235291	1912	12,28,33	376,396,328	56,32,52	229,245,274	133	100	7.21936288528e-10	5.48370772494e-08	0.023,0.05,0.07	0.155,0.089,0.125	-0.075
754	"ENSG00000169714.16"	"CNBP"	chr3	-	129171633	129171771	129171654	129171771	129171445	129171538	754	714,432,439	238,206,200	228,215,184	236,170,290	121	100	7.75997710534e-10	5.77405643389e-08	0.713,0.634,0.645	0.444,0.511,0.344	0.231
144	"ENSG00000061936.9"	"SFSWAP"	chr12	+	131714070	131714240	131714070	131714193	131714821	131714953	144	155,147,163	4,2,6	94,85,98	9,12,29	147	100	2.11592920962e-09	1.54293557965e-07	0.963,0.98,0.949	0.877,0.828,0.697	0.163
3195	"ENSG00000006015.17"	"C19orf60"	chr19	+	18588994	18589683	18588994	18589077	18590853	18590933	3195	61,32,12	11,2,1	30,10,34	0,0,0	706	100	2.20323914668e-09	1.57509998604e-07	0.44,0.694,0.63	1.0,1.0,1.0	-0.412
5639	"ENSG00000116001.15"	"TIA1"	chr2	-	70216752	70216994	70216885	70216994	70216403	70216499	5639	88,120,106	38,69,59	190,282,148	261,269,203	233	100	2.8202390423e-09	1.97742145158e-07	0.498,0.427,0.435	0.238,0.31,0.238	0.191
2820	"ENSG00000071054.16"	"MAP4K4"	chr2	+	101887087	101887261	101887087	101887237	101887777	101887937	2820	24,39,40	258,285,190	119,107,163	338,373,491	124	100	3.09476055893e-09	2.12896169771e-07	0.07,0.099,0.145	0.221,0.188,0.211	-0.102
1666	"ENSG00000111961.17"	"SASH1"	chr6	+	148519546	148520382	148519546	148519893	148525290	148525365	1666	39,10,11	24,14,25	2,3,5	17,9,59	589	100	3.55169471611e-09	2.39805165462e-07	0.216,0.108,0.07	0.02,0.054,0.014	0.102
2085	"ENSG00000135597.18"	"REPS1"	chr6	-	138926400	138930098	138929976	138930098	138921036	138921124	2085	149,154,193	17,18,12	51,75,125	45,24,21	3676	100	3.78783149291e-09	2.51098793148e-07	0.193,0.189,0.304	0.03,0.078,0.139	0.146
5108	"ENSG00000104129.9"	"DNAJC17"	chr15	-	40779083	40779310	40779222	40779310	40776541	40776627	5108	23,24,16	86,96,82	6,0,2	77,56,68	239	100	4.79398454267e-09	3.12122636475e-07	0.101,0.095,0.075	0.032,0.0,0.012	0.076
5239	"ENSG00000203875.10"	"SNHG5"	chr6	-	85677794	85678032	85677953	85678032	85677423	85677492	5239	1039,1045,743	31,21,14	411,227,1182	43,34,46	259	100	6.02269478733e-09	3.85241143765e-07	0.928,0.951,0.953	0.787,0.72,0.908	0.139
5487	"ENSG00000046647.13"	"GEMIN8"	chrX	-	14026051	14026221	14026139	14026221	14021463	14021511	5487	19,22,13	11,11,14	9,11,10	57,40,33	188	100	6.2442263582e-09	3.92524987965e-07	0.479,0.515,0.331	0.077,0.128,0.139	0.327
2083	"ENSG00000163938.16"	"GNL3"	chr3	+	52688108	52688206	52688108	52688192	52689073	52689206	2083	9,8,9	371,456,281	20,19,19	161,149,306	114	100	7.26764803893e-09	4.49116012711e-07	0.021,0.015,0.027	0.098,0.101,0.052	-0.063
2767	"ENSG00000158201.9"	"ABHD3"	chr18	-	21663677	21664230	21664117	21664230	21659169	21659343	2767	39,69,69	3,11,13	36,49,71	40,31,50	540	100	7.75598063552e-09	4.71305089952e-07	0.707,0.537,0.496	0.143,0.226,0.208	0.388
136	"ENSG00000267228.7"	"RP11-49K24.6"	chr18	-	47136301	47136449	47136338	47136449	47134655	47134704	136	4,2,2	25,31,32	31,20,41	42,55,51	137	100	8.18210099673e-09	4.89048200559e-07	0.105,0.045,0.044	0.35,0.21,0.37	-0.245
4380	"ENSG00000168661.14"	"ZNF30"	chr19	+	34926902	34927282	34926902	34927216	34929883	34929956	4380	9,3,2	0,4,1	0,0,0	4,2,3	166	100	1.03644268723e-08	6.09495167361e-07	1.0,0.311,0.546	0.0,0.0,0.0	0.619
1831	"ENSG00000079819.18"	"EPB41L2"	chr6	-	130869562	130870126	130869811	130870126	130867458	130867581	1831	680,684,535	9,8,2	469,567,1322	9,16,73	349	100	1.24347503405e-08	7.19636503833e-07	0.956,0.961,0.987	0.937,0.91,0.838	0.073
4085	"ENSG00000112306.7"	"RPS12"	chr6	+	132814971	132815224	132814971	132815088	132816460	132816563	4085	836,529,384	3270,2935,2387	119,140,211	1424,833,2028	236	100	1.37889748508e-08	7.85540661032e-07	0.098,0.071,0.064	0.034,0.066,0.042	0.03
1903	"ENSG00000146540.14"	"C7orf50"	chr7	-	1138188	1138257	1138217	1138257	1127256	1127386	1903	73,29,79	30,16,17	61,36,32	6,0,0	129	100	2.21981516502e-08	1.24514555256e-06	0.654,0.584,0.783	0.887,1.0,1.0	-0.289
3705	"ENSG00000167280.16"	"ENGASE"	chr17	+	79081897	79082877	79081897	79082063	79083019	79083123	3705	218,95,185	19,10,21	7,2,59	13,14,10	914	100	2.66325794751e-08	1.42797624656e-06	0.557,0.51,0.491	0.056,0.015,0.392	0.365
396	"ENSG00000102103.15"	"PQBP1"	chrX	+	48897911	48898093	48897911	48898082	48898491	48898576	396	4,5,6	42,16,35	103,49,20	0,0,75	111	100	2.61911988764e-08	1.42797624656e-06	0.079,0.22,0.134	1.0,1.0,0.194	-0.587
5429	"ENSG00000010361.13"	"FUZ"	chr19	-	49812446	49812736	49812637	49812736	49812250	49812335	5429	7,7,6	0,0,0	39,45,10	15,4,13	291	100	2.6449735846e-08	1.42797624656e-06	1.0,1.0,1.0	0.472,0.794,0.209	0.508
4891	"ENSG00000108465.14"	"CDK5RAP3"	chr17	+	47973518	47973693	47973518	47973650	47973930	47974031	4891	73,65,42	189,108,136	28,32,21	210,186,130	143	100	2.72284315095e-08	1.43876610556e-06	0.213,0.296,0.178	0.085,0.107,0.101	0.131
2127	"ENSG00000198000.11"	"NOL8"	chr9	-	92324905	92325350	92325305	92325350	92324022	92324209	2127	6,1,8	17,19,23	20,26,24	18,16,15	500	100	3.12203877195e-08	1.62613619465e-06	0.066,0.01,0.065	0.182,0.245,0.242	-0.176
420	"ENSG00000168958.19"	"MFF"	chr2	+	227328677	227328899	227328677	227328789	227329605	227329783	420	17,6,14	46,39,42	8,11,14	2,5,7	210	100	4.37125539099e-08	2.24473199374e-06	0.15,0.068,0.137	0.656,0.512,0.488	-0.434
1110	"ENSG00000174720.15"	"LARP7"	chr4	+	112644667	112644871	112644667	112644768	112646350	112646451	1110	347,444,320	3,11,3	362,354,294	15,19,28	203	100	4.76875929856e-08	2.38176663049e-06	0.983,0.952,0.981	0.922,0.902,0.838	0.085
3641	"ENSG00000185163.9"	"DDX51"	chr12	-	132141102	132141420	132141274	132141420	132140830	132141020	3641	4,0,1	25,3,16	9,4,12	8,2,3	272	100	4.71444991934e-08	2.38176663049e-06	0.056,0.0,0.022	0.293,0.424,0.595	-0.411
3090	"ENSG00000129245.11"	"FXR2"	chr17	-	7606015	7606149	7606096	7606149	7605644	7605738	3090	22,6,8	86,86,64	1,4,2	127,86,93	181	100	5.667249936e-08	2.79226936036e-06	0.124,0.037,0.065	0.004,0.025,0.012	0.062
5357	"ENSG00000109180.14"	"OCIAD1"	chr4	+	48831226	48831398	48831226	48831249	48832619	48832682	5357	115,40,54	315,371,230	32,27,21	325,282,235	249	100	6.25714148272e-08	3.04180504613e-06	0.128,0.042,0.086	0.038,0.037,0.035	0.049
3464	"ENSG00000204084.12"	"INPP5B"	chr1	-	37931672	37932053	37931912	37932053	37891357	37891454	3464	2,0,2	25,20,27	12,5,8	8,17,11	340	100	6.52660545608e-08	3.09151438969e-06	0.023,0.0,0.021	0.306,0.08,0.176	-0.173
602	"ENSG00000221838.9"	"AP4M1"	chr7	+	100101879	100102393	100101879	100101989	100102674	100102781	602	7,4,11	4,5,3	93,69,41	3,3,1	504	100	6.52897992337e-08	3.09151438969e-06	0.258,0.137,0.421	0.86,0.82,0.891	-0.585
1511	"ENSG00000135424.15"	"ITGA7"	chr12	-	55700565	55701154	55700898	55701154	55699869	55699989	1511	25,14,14	3,2,1	17,24,2	31,16,3	433	100	8.19971800459e-08	3.8328425442e-06	0.658,0.618,0.764	0.112,0.257,0.133	0.513
5543	"ENSG00000111231.8"	"GPN3"	chr12	-	110468125	110468264	110468195	110468264	110465105	110465214	5543	15,9,13	0,0,1	4,2,3	2,2,4	170	100	8.51974487626e-08	3.9320240277e-06	1.0,1.0,0.884	0.541,0.37,0.306	0.556
4191	"ENSG00000196628.15"	"TCF4"	chr18	-	55232508	55232671	55232520	55232671	55228846	55229076	4191	2,4,3	0,0,0	106,163,46	69,115,31	112	100	1.09914239488e-07	5.00934146467e-06	1.0,1.0,1.0	0.578,0.559,0.57	0.431
2749	"ENSG00000123219.12"	"CENPK"	chr5	-	65561462	65561564	65561496	65561564	65552492	65552549	2749	28,48,34	0,0,1	62,60,57	8,10,8	134	100	1.28639498387e-07	5.79036556937e-06	1.0,1.0,0.962	0.853,0.817,0.842	0.15
3515	"ENSG00000173681.16"	"CXorf23"	chrX	-	19937417	19937532	19937504	19937532	19929784	19929940	3515	4,2,4	0,0,0	5,10,11	4,2,3	187	100	1.43951201736e-07	6.40056196987e-06	1.0,1.0,1.0	0.401,0.728,0.662	0.403
2393	"ENSG00000204536.13"	"CCHCR1"	chr6	-	31157357	31157500	31157384	31157500	31157022	31157089	2393	3,5,6	5,4,1	0,2,0	13,9,17	127	100	1.52851618473e-07	6.71442169822e-06	0.321,0.496,0.825	0.0,0.149,0.0	0.498
156	"ENSG00000137822.12"	"TUBGCP4"	chr15	+	43403682	43403842	43403682	43403799	43404412	43404552	156	4,3,8	64,80,60	14,17,8	24,28,39	143	100	1.82255830317e-07	7.91077092066e-06	0.042,0.026,0.085	0.29,0.298,0.125	-0.187
5315	"ENSG00000183569.17"	"SERHL2"	chr22	+	42571120	42571901	42571120	42571203	42572435	42572529	5315	36,33,43	0,0,0	40,33,53	6,1,2	798	100	2.66467267918e-07	1.14298783392e-05	1.0,1.0,1.0	0.455,0.805,0.769	0.324
2426	"ENSG00000135506.15"	"OS9"	chr12	+	57718145	57718421	57718145	57718376	57718992	57719182	2426	249,255,228	20,34,27	969,658,324	47,16,20	145	100	2.98088889905e-07	1.2637582472e-05	0.896,0.838,0.853	0.934,0.966,0.918	-0.077
3457	"ENSG00000139613.11"	"SMARCC2"	chr12	-	56164302	56164731	56164647	56164731	56163344	56163765	3457	159,49,120	10,2,2	23,16,36	7,7,8	445	100	3.4931377757e-07	1.46390578508e-05	0.781,0.846,0.931	0.425,0.339,0.503	0.43
3321	"ENSG00000241837.6"	"ATP5O"	chr21	-	33915135	33915724	33915651	33915724	33914449	33914500	3321	34,16,18	0,0,1	43,41,23	9,7,3	616	100	3.83130151271e-07	1.58737787674e-05	1.0,1.0,0.745	0.437,0.487,0.554	0.422
4711	"ENSG00000169045.17"	"HNRNPH1"	chr5	-	179623594	179623671	179623635	179623671	179623036	179623164	4711	463,315,474	302,302,322	241,212,234	294,301,334	141	100	5.03952386599e-07	2.06450606915e-05	0.521,0.425,0.511	0.368,0.333,0.332	0.141
5419	"ENSG00000164062.12"	"APEH"	chr3	+	49676055	49676515	49676055	49676219	49676608	49676700	5419	216,230,224	0,1,1	379,229,263	17,4,5	396	100	5.73968858553e-07	2.32521162032e-05	1.0,0.983,0.983	0.849,0.935,0.93	0.084
3126	"ENSG00000204316.12"	"MRPL38"	chr17	-	75904221	75904719	75904539	75904719	75902019	75902154	3126	5,3,8	129,46,87	12,9,8	35,20,31	418	100	5.928065967e-07	2.37513500172e-05	0.009,0.015,0.022	0.076,0.097,0.058	-0.062
3127	"ENSG00000204316.12"	"MRPL38"	chr17	-	75904225	75904719	75904539	75904719	75902019	75902154	3127	7,1,5	129,46,87	11,8,7	35,20,31	414	100	6.0009212266e-07	2.37819117306e-05	0.013,0.005,0.014	0.071,0.088,0.052	-0.06
1800	"ENSG00000196975.15"	"ANXA4"	chr2	+	69806384	69806498	69806384	69806432	69807905	69807996	1800	80,75,52	6,11,8	23,19,21	0,0,0	166	100	7.11006762022e-07	2.78745231649e-05	0.889,0.804,0.797	1.0,1.0,1.0	-0.17
1358	"ENSG00000156170.12"	"NDUFAF6"	chr8	+	95031994	95032098	95031994	95032094	95035453	95035576	1358	1,6,6	29,27,31	7,7,21	9,9,21	104	100	7.60927694965e-07	2.95142805941e-05	0.032,0.176,0.157	0.428,0.428,0.49	-0.327
2608	"ENSG00000168564.5"	"CDKN2AIP"	chr4	+	183445534	183445665	183445534	183445634	183446087	183448198	2608	66,84,86	9,16,18	36,26,47	22,17,24	131	100	1.07728645282e-06	4.13451200735e-05	0.848,0.8,0.785	0.555,0.539,0.599	0.247
3932	"ENSG00000198431.15"	"TXNRD1"	chr12	+	104286681	104287431	104286681	104287109	104288930	104289040	3932	269,104,246	294,246,412	16,16,67	80,74,158	422	100	1.11129105063e-06	4.22059080271e-05	0.178,0.091,0.124	0.045,0.049,0.091	0.069
3120	"ENSG00000178980.14"	"SELENOW"	chr19	+	47780863	47781000	47780863	47780917	47781107	47781182	3120	59,29,18	372,350,265	19,41,17	712,470,540	183	100	1.14646516824e-06	4.30929072516e-05	0.08,0.043,0.036	0.014,0.045,0.017	0.028
2216	"ENSG00000139651.10"	"ZNF740"	chr12	+	53181676	53182190	53181676	53181992	53185386	53185476	2216	16,27,20	0,0,1	27,20,28	7,3,4	298	100	1.16841218512e-06	4.34697023158e-05	1.0,1.0,0.87	0.564,0.691,0.701	0.305
1004	"ENSG00000118418.14"	"HMGN3"	chr6	-	79202275	79202389	79202316	79202389	79201244	79201726	1004	208,412,219	258,425,176	258,190,1207	113,122,684	141	100	1.2253236592e-06	4.51265662772e-05	0.364,0.407,0.469	0.618,0.525,0.556	-0.153
3399	"ENSG00000038532.14"	"CLEC16A"	chr16	+	11003073	11003305	11003073	11003257	11020192	11020325	3399	5,4,7	6,10,10	29,29,16	3,10,3	148	100	1.27421618679e-06	4.64579221704e-05	0.36,0.213,0.321	0.867,0.662,0.783	-0.473
5360	"ENSG00000059145.18"	"UNKL"	chr16	-	1369933	1370357	1370129	1370357	1367655	1367858	5360	11,2,2	7,4,4	0,0,0	8,4,1	296	100	1.30928585351e-06	4.72639229891e-05	0.347,0.145,0.145	0.0,0.0,0.0	0.212
1900	"ENSG00000255152.8"	"MSH5-SAPCD1"	chr6	+	31761817	31761955	31761817	31761865	31762111	31762185	1900	132,127,125	21,15,14	86,71,144	0,2,7	190	100	1.34304663246e-06	4.80073335485e-05	0.768,0.817,0.825	1.0,0.949,0.915	-0.151
5414	"ENSG00000136098.16"	"NEK3"	chr13	-	52143914	52143987	52143915	52143987	52136799	52136902	5414	2,2,1	37,51,60	4,10,1	0,0,15	101	100	1.43512356565e-06	5.08005875763e-05	0.051,0.037,0.016	1.0,1.0,0.062	-0.653
2398	"ENSG00000135678.11"	"CPM"	chr12	-	68933141	68933202	68933159	68933202	68932677	68932840	2398	3,1,6	2,3,3	3,7,92	1,0,1	118	100	1.50682576672e-06	5.2825834091e-05	0.56,0.22,0.629	0.718,1.0,0.987	-0.432
